StudentID,department,gender,address,admission_status,aboriginal,child_of_new_residents,family_children_ranking,parent_avg_income_per_month,on_campus_accommodation,main_source_of_living_expenses,student_loan,tuition_waiver,father_live_or_not,father_occupations,father_education,mother_live_or_not,mother_occupations,mother_education,num_required_credits,num_elective_credits,sick_leave,personal_leave,learning_status,target_group
5504,Business Administration,Male,Rural,Admitted,1,1,4,7723,0,Scholarship,1,1,0,Pilot,Master,0,Pilot,High School,44,0,4,4,1,Group 2
4903,Computer Science,Male,Rural,Not Admitted,0,0,3,5250,1,Family Support,0,1,1,Engineer,Bachelor,1,Businesswoman,Bachelor,91,25,0,0,1,Group 1
7539,Biology,Male,Urban,Admitted,0,0,5,7149,0,Family Support,1,1,0,Artist,Master,1,Nurse,Master,90,5,0,4,0,Group 3
4477,Engineering,Male,Urban,Admitted,1,0,5,7383,1,Scholarship,1,0,0,Chef,Master,0,Nurse,High School,106,21,1,1,0,Group 3
7854,Biology,Female,Urban,Not Admitted,0,0,4,6669,1,Family Support,1,0,1,Engineer,High School,0,Pilot,Master,108,14,2,0,1,Group 1
6722,Engineering,Female,Rural,Admitted,0,1,1,4068,0,Family Support,0,0,0,Engineer,Bachelor,0,Artist,Bachelor,31,17,0,1,1,Group 3
7675,Engineering,Male,Rural,Admitted,0,1,3,3283,1,Family Support,0,0,1,Doctor,Master,1,Businesswoman,Master,114,11,0,0,0,Group 2
4388,Biology,Male,Urban,Admitted,0,1,3,3832,1,Family Support,1,1,1,Teacher,Master,0,Librarian,High School,118,1,3,4,0,Group 1
9157,Psychology,Male,Rural,Admitted,1,1,4,7677,1,Family Support,0,1,0,Businessman,Master,0,Nurse,Bachelor,34,21,2,2,1,Group 2
1295,Engineering,Female,Rural,Admitted,1,1,2,6488,0,Family Support,0,0,0,Businessman,High School,0,Engineer,High School,56,2,1,4,0,Group 2
7030,Engineering,Female,Urban,Not Admitted,0,0,2,7367,1,Family Support,1,0,1,Engineer,Bachelor,1,Businesswoman,High School,86,26,4,2,0,Group 1
6837,Biology,Male,Rural,Admitted,0,0,1,6212,0,Scholarship,0,1,0,Teacher,High School,1,Nurse,Master,111,3,0,1,1,Group 2
7212,Engineering,Female,Rural,Admitted,0,1,1,3916,0,Family Support,1,0,0,Chef,Master,0,Librarian,High School,57,25,2,2,0,Group 1
3887,Engineering,Male,Rural,Admitted,1,1,4,3570,0,Scholarship,1,0,1,Police Officer,Bachelor,1,Librarian,High School,60,22,2,2,0,Group 1
4217,Biology,Female,Urban,Not Admitted,1,1,2,5799,0,Scholarship,0,0,1,Chef,Master,0,Doctor,Master,88,12,2,3,1,Group 2
4666,Biology,Female,Urban,Not Admitted,1,1,3,5094,0,Family Support,1,0,1,Police Officer,Bachelor,1,Doctor,Master,60,4,0,1,1,Group 1
6473,Computer Science,Male,Rural,Not Admitted,1,1,2,6238,1,Family Support,0,0,1,Chef,High School,1,Police Officer,Master,115,29,4,2,0,Group 1
4773,Psychology,Female,Urban,Admitted,1,0,4,7567,1,Family Support,1,1,1,Pilot,High School,0,Artist,Bachelor,57,12,2,2,1,Group 1
4401,Psychology,Female,Rural,Admitted,0,1,2,7906,1,Scholarship,1,1,1,Chef,Master,0,Pilot,Master,46,0,2,1,0,Group 1
2261,Engineering,Male,Urban,Admitted,0,0,5,3620,0,Scholarship,1,1,0,Teacher,Master,0,Artist,Master,48,22,2,0,0,Group 3
9417,Psychology,Female,Rural,Admitted,1,0,4,7772,1,Family Support,0,0,0,Businessman,Master,0,Teacher,Bachelor,34,20,3,2,0,Group 2
7585,Engineering,Male,Rural,Admitted,1,1,5,3770,1,Family Support,0,1,1,Businessman,High School,1,Teacher,Bachelor,84,17,1,4,1,Group 3
1727,Computer Science,Female,Rural,Not Admitted,0,1,4,7793,1,Family Support,1,0,1,Engineer,High School,0,Librarian,Master,109,5,4,4,0,Group 1
6251,Biology,Male,Rural,Admitted,1,0,3,6347,0,Family Support,1,0,0,Pilot,Bachelor,1,Teacher,Master,84,3,3,3,0,Group 3
7517,Biology,Male,Urban,Admitted,0,0,4,4614,1,Scholarship,0,1,0,Teacher,Bachelor,0,Doctor,Master,91,3,4,0,1,Group 2
4636,Biology,Female,Rural,Not Admitted,1,0,4,3064,1,Scholarship,1,0,1,Doctor,Bachelor,0,Nurse,High School,111,4,3,1,0,Group 2
8401,Psychology,Female,Rural,Not Admitted,0,1,4,6698,0,Scholarship,1,1,1,Pilot,High School,0,Nurse,Master,94,0,2,1,1,Group 3
9685,Computer Science,Male,Urban,Not Admitted,1,0,4,3201,1,Scholarship,0,1,0,Lawyer,Bachelor,0,Police Officer,Master,108,25,1,0,1,Group 3
2381,Psychology,Female,Urban,Not Admitted,0,1,1,7237,1,Scholarship,1,0,1,Pilot,Master,1,Businesswoman,Master,88,9,0,3,0,Group 1
6018,Psychology,Female,Rural,Not Admitted,0,0,5,6169,0,Family Support,1,1,1,Engineer,Master,1,Pilot,Bachelor,97,7,4,1,0,Group 3
4974,Computer Science,Female,Rural,Admitted,1,1,4,5864,0,Scholarship,0,1,1,Police Officer,High School,0,Engineer,High School,72,20,4,0,0,Group 2
7077,Computer Science,Male,Urban,Admitted,1,1,4,4157,0,Family Support,0,0,0,Doctor,High School,0,Businesswoman,Master,52,21,1,2,1,Group 1
6360,Computer Science,Male,Rural,Admitted,1,0,1,5309,0,Scholarship,1,0,1,Police Officer,Bachelor,1,Police Officer,Master,60,16,3,2,0,Group 1
2362,Computer Science,Male,Rural,Admitted,1,1,2,3101,1,Scholarship,0,0,1,Police Officer,High School,0,Police Officer,Master,104,16,4,0,1,Group 1
5969,Biology,Female,Rural,Admitted,1,1,1,3376,0,Family Support,1,1,0,Chef,High School,0,Librarian,Bachelor,71,7,1,4,0,Group 1
5678,Business Administration,Female,Rural,Not Admitted,0,0,1,3205,1,Scholarship,0,1,1,Lawyer,Master,0,Engineer,Master,67,13,2,4,1,Group 3
6683,Business Administration,Male,Rural,Admitted,1,1,1,6724,0,Family Support,1,1,0,Engineer,Bachelor,1,Artist,Master,98,25,0,1,0,Group 2
3302,Computer Science,Male,Rural,Admitted,1,0,4,7856,0,Family Support,1,1,0,Police Officer,High School,1,Teacher,Bachelor,50,24,1,3,0,Group 1
4912,Business Administration,Female,Rural,Not Admitted,1,0,1,5057,0,Family Support,1,0,0,Chef,Bachelor,1,Businesswoman,Bachelor,42,29,0,1,1,Group 1
7237,Business Administration,Female,Rural,Not Admitted,1,0,1,6663,1,Family Support,0,0,1,Chef,High School,1,Pilot,Bachelor,105,20,1,0,0,Group 1
9825,Computer Science,Female,Rural,Admitted,0,1,1,4634,1,Scholarship,0,1,0,Businessman,Bachelor,0,Artist,Bachelor,85,27,4,4,1,Group 2
3378,Business Administration,Female,Urban,Admitted,1,1,4,4060,1,Scholarship,0,1,0,Police Officer,Master,1,Doctor,Bachelor,47,15,1,3,0,Group 3
7252,Psychology,Male,Urban,Not Admitted,1,0,3,5823,1,Family Support,1,0,1,Police Officer,Master,0,Police Officer,Bachelor,118,11,0,3,0,Group 2
8004,Engineering,Female,Urban,Admitted,1,1,3,3889,0,Family Support,0,1,0,Artist,Master,0,Businesswoman,Bachelor,38,8,1,1,0,Group 2
8988,Engineering,Female,Rural,Not Admitted,1,0,2,4562,0,Scholarship,0,0,0,Lawyer,Master,1,Police Officer,Bachelor,114,3,2,3,1,Group 1
9146,Computer Science,Male,Rural,Admitted,0,0,4,6195,0,Scholarship,0,0,0,Doctor,Master,1,Doctor,Bachelor,107,3,3,2,1,Group 3
2672,Biology,Male,Rural,Not Admitted,0,0,1,7498,1,Family Support,0,0,1,Teacher,Bachelor,1,Artist,Master,90,20,3,2,1,Group 2
7950,Computer Science,Female,Urban,Not Admitted,0,1,1,3810,1,Family Support,1,1,0,Teacher,High School,1,Police Officer,High School,44,17,4,2,0,Group 1
9433,Biology,Male,Urban,Not Admitted,0,1,1,4058,0,Family Support,0,0,1,Businessman,Master,1,Pilot,Master,65,20,2,0,1,Group 3
6975,Engineering,Female,Rural,Admitted,0,1,3,4260,0,Family Support,0,1,0,Pilot,High School,1,Librarian,Bachelor,85,16,2,0,1,Group 3
9783,Computer Science,Female,Urban,Not Admitted,1,0,1,5546,1,Scholarship,1,0,1,Businessman,Bachelor,0,Doctor,Master,103,15,3,4,1,Group 3
3352,Psychology,Male,Urban,Not Admitted,0,0,1,3511,1,Family Support,1,1,1,Engineer,High School,0,Businesswoman,Bachelor,90,8,1,2,0,Group 2
3053,Business Administration,Male,Rural,Admitted,0,1,3,4846,0,Scholarship,0,0,0,Pilot,High School,0,Pilot,High School,77,25,4,3,0,Group 3
2062,Biology,Female,Rural,Admitted,1,1,1,7412,0,Family Support,0,1,1,Chef,High School,0,Pilot,High School,76,15,1,3,1,Group 1
1298,Business Administration,Male,Urban,Admitted,0,0,2,7398,0,Family Support,1,1,1,Police Officer,High School,1,Doctor,Bachelor,97,22,3,2,0,Group 2
6104,Business Administration,Female,Rural,Not Admitted,0,0,5,4125,1,Scholarship,1,0,1,Artist,Master,1,Nurse,Bachelor,88,27,1,1,1,Group 1
9841,Computer Science,Female,Urban,Not Admitted,0,0,2,6660,1,Scholarship,0,0,1,Lawyer,Master,0,Pilot,Master,92,24,2,3,1,Group 1
4976,Business Administration,Female,Urban,Not Admitted,0,0,4,7177,0,Scholarship,0,0,0,Artist,High School,1,Nurse,Master,109,1,4,2,0,Group 2
8183,Psychology,Male,Urban,Admitted,1,1,2,3657,0,Scholarship,0,0,0,Teacher,High School,1,Businesswoman,Bachelor,78,5,3,1,1,Group 3
4040,Business Administration,Female,Rural,Admitted,0,1,2,3052,0,Family Support,0,0,0,Chef,Bachelor,1,Nurse,High School,83,23,3,0,1,Group 2
2391,Computer Science,Female,Urban,Not Admitted,0,0,3,7440,1,Family Support,1,1,1,Artist,Bachelor,0,Police Officer,Master,104,17,0,3,1,Group 1
6555,Psychology,Female,Urban,Admitted,0,0,4,4108,1,Family Support,1,1,0,Pilot,High School,1,Police Officer,Master,99,4,0,0,1,Group 2
5898,Engineering,Male,Rural,Admitted,0,1,2,3986,0,Family Support,1,1,1,Pilot,Master,1,Nurse,High School,103,17,3,1,1,Group 1
5356,Business Administration,Female,Rural,Not Admitted,0,0,5,7736,0,Scholarship,1,1,0,Engineer,Master,1,Teacher,High School,86,4,1,4,0,Group 3
3699,Computer Science,Female,Urban,Not Admitted,1,0,2,3210,0,Family Support,0,0,1,Businessman,Master,1,Nurse,Master,39,22,0,4,0,Group 2
7959,Engineering,Female,Rural,Admitted,0,1,1,7959,1,Scholarship,1,0,1,Lawyer,Master,0,Police Officer,Bachelor,109,26,3,2,1,Group 2
1960,Engineering,Male,Rural,Not Admitted,0,1,3,3775,1,Family Support,1,0,0,Teacher,High School,0,Businesswoman,High School,36,0,2,1,1,Group 2
5706,Biology,Female,Urban,Admitted,1,1,1,3914,1,Family Support,0,0,1,Teacher,Master,1,Nurse,Master,59,27,0,2,0,Group 3
8816,Psychology,Female,Rural,Admitted,1,0,4,7278,1,Scholarship,1,0,1,Businessman,Bachelor,0,Police Officer,Bachelor,62,0,0,1,1,Group 2
8931,Business Administration,Male,Urban,Not Admitted,0,0,4,3505,0,Family Support,1,1,0,Engineer,Master,0,Police Officer,Bachelor,33,0,4,4,1,Group 1
5434,Computer Science,Male,Rural,Not Admitted,1,1,3,6298,0,Family Support,0,0,1,Artist,High School,1,Engineer,Bachelor,34,11,0,1,1,Group 2
9785,Biology,Female,Rural,Admitted,0,1,2,4857,1,Scholarship,1,1,1,Lawyer,Bachelor,1,Police Officer,Master,48,11,2,3,0,Group 2
8326,Psychology,Female,Urban,Admitted,0,0,4,7188,1,Scholarship,1,1,1,Police Officer,Bachelor,0,Pilot,Master,86,4,1,4,1,Group 3
7240,Biology,Female,Urban,Not Admitted,0,0,5,7425,1,Scholarship,0,0,0,Chef,Bachelor,1,Teacher,High School,40,11,0,1,1,Group 3
8529,Psychology,Male,Rural,Admitted,0,0,3,5237,0,Family Support,0,0,0,Police Officer,High School,1,Pilot,High School,85,20,2,1,1,Group 1
5691,Psychology,Male,Rural,Admitted,1,1,1,5913,1,Scholarship,0,1,0,Pilot,Master,1,Nurse,Bachelor,63,28,4,4,0,Group 1
7214,Business Administration,Female,Rural,Admitted,1,1,5,6001,0,Scholarship,1,1,0,Teacher,Bachelor,0,Doctor,Bachelor,40,12,0,0,0,Group 2
2236,Psychology,Male,Urban,Admitted,1,0,3,3260,0,Family Support,1,1,0,Police Officer,High School,1,Artist,Master,68,9,0,0,0,Group 1
6694,Biology,Female,Rural,Admitted,1,1,5,3709,0,Scholarship,1,0,1,Engineer,Master,0,Doctor,Master,108,13,1,2,1,Group 2
3219,Psychology,Female,Urban,Not Admitted,0,1,3,4951,1,Family Support,0,0,1,Lawyer,Bachelor,1,Businesswoman,High School,98,16,0,2,0,Group 3
6719,Business Administration,Male,Rural,Admitted,0,1,1,5370,1,Scholarship,1,0,0,Teacher,Master,1,Engineer,High School,100,24,1,3,0,Group 1
7318,Business Administration,Female,Rural,Admitted,0,0,2,3087,1,Family Support,1,1,1,Teacher,High School,0,Nurse,Master,104,9,2,4,1,Group 1
6367,Biology,Male,Rural,Not Admitted,1,0,3,6389,1,Scholarship,0,1,0,Doctor,High School,0,Pilot,Bachelor,114,15,4,1,1,Group 1
9639,Engineering,Male,Rural,Not Admitted,0,1,4,6294,0,Scholarship,0,1,0,Pilot,High School,1,Businesswoman,Bachelor,112,7,1,0,0,Group 3
1676,Engineering,Female,Rural,Not Admitted,0,0,1,5734,0,Scholarship,1,0,0,Teacher,Bachelor,1,Businesswoman,High School,42,29,0,0,0,Group 1
3781,Psychology,Male,Urban,Admitted,0,1,1,5256,1,Scholarship,0,1,1,Pilot,High School,0,Businesswoman,High School,51,11,1,2,0,Group 1
6489,Computer Science,Female,Urban,Admitted,1,1,5,4072,0,Family Support,0,0,1,Doctor,Master,0,Businesswoman,Bachelor,44,12,1,2,1,Group 1
6889,Psychology,Male,Urban,Not Admitted,1,0,4,6607,0,Scholarship,0,0,1,Teacher,Bachelor,1,Businesswoman,Master,111,5,0,1,0,Group 1
3918,Biology,Female,Rural,Not Admitted,1,1,5,6921,1,Family Support,0,0,0,Teacher,Master,0,Businesswoman,Bachelor,64,15,3,2,0,Group 2
4232,Biology,Female,Urban,Not Admitted,1,1,1,5969,1,Family Support,1,0,0,Pilot,High School,0,Librarian,Bachelor,111,17,3,3,0,Group 3
6627,Biology,Female,Urban,Not Admitted,0,1,3,5310,0,Family Support,1,0,1,Lawyer,High School,0,Businesswoman,Bachelor,100,21,4,4,1,Group 1
9150,Biology,Male,Rural,Not Admitted,0,1,4,6277,1,Scholarship,0,1,1,Pilot,Master,1,Librarian,High School,60,23,3,1,1,Group 1
4567,Biology,Female,Rural,Admitted,0,1,1,6752,0,Scholarship,1,0,0,Teacher,Bachelor,0,Businesswoman,Bachelor,96,20,1,3,1,Group 2
2929,Business Administration,Male,Urban,Not Admitted,0,1,4,6568,1,Scholarship,0,0,1,Chef,High School,1,Nurse,Bachelor,101,2,2,2,1,Group 1
3629,Engineering,Male,Urban,Admitted,1,0,3,6969,0,Scholarship,0,1,0,Doctor,Bachelor,1,Pilot,Bachelor,58,8,4,4,1,Group 3
9459,Biology,Male,Urban,Admitted,0,1,2,5717,1,Family Support,0,1,0,Teacher,High School,0,Businesswoman,Bachelor,67,8,3,0,0,Group 2
5116,Computer Science,Male,Urban,Not Admitted,0,0,5,4488,0,Family Support,0,1,0,Businessman,Master,0,Artist,Master,108,16,0,0,0,Group 1
2276,Computer Science,Male,Urban,Not Admitted,1,0,5,4658,1,Family Support,0,0,0,Businessman,Master,1,Artist,Master,95,6,3,0,1,Group 1
7857,Computer Science,Female,Urban,Not Admitted,0,0,1,5067,1,Scholarship,0,0,0,Businessman,Bachelor,0,Librarian,High School,99,20,1,2,0,Group 3
3361,Computer Science,Male,Urban,Not Admitted,0,0,1,5615,1,Family Support,1,0,1,Police Officer,Bachelor,1,Doctor,Bachelor,106,11,2,2,1,Group 3
5742,Business Administration,Female,Rural,Not Admitted,1,0,3,6017,0,Family Support,1,1,0,Police Officer,Bachelor,1,Artist,Master,44,0,3,3,1,Group 1
8718,Computer Science,Female,Urban,Admitted,1,1,1,4131,1,Family Support,0,0,0,Businessman,High School,0,Pilot,High School,45,24,2,3,0,Group 2
6788,Biology,Male,Rural,Not Admitted,0,1,1,5187,1,Family Support,1,1,0,Police Officer,Master,0,Doctor,Bachelor,116,6,0,1,0,Group 3
6067,Psychology,Female,Rural,Not Admitted,0,0,1,3270,0,Family Support,0,1,0,Engineer,High School,1,Artist,Bachelor,68,4,1,2,0,Group 3
6872,Computer Science,Female,Rural,Admitted,0,1,4,4596,1,Scholarship,1,0,0,Pilot,Bachelor,1,Doctor,Bachelor,89,19,1,0,1,Group 3
3915,Business Administration,Male,Urban,Not Admitted,0,0,4,6526,0,Family Support,1,1,1,Teacher,High School,1,Pilot,Bachelor,83,0,0,0,1,Group 2
3878,Business Administration,Female,Urban,Not Admitted,0,1,2,7379,0,Family Support,1,1,1,Teacher,Bachelor,0,Nurse,Master,74,20,3,4,0,Group 1
5123,Computer Science,Male,Rural,Not Admitted,1,0,4,3365,0,Family Support,0,0,1,Chef,High School,0,Pilot,Master,115,23,1,3,0,Group 2
8229,Psychology,Male,Urban,Admitted,0,0,5,5531,0,Family Support,1,0,1,Engineer,High School,0,Artist,Bachelor,111,8,2,2,0,Group 3
1757,Computer Science,Male,Urban,Not Admitted,0,0,2,3002,0,Family Support,0,0,1,Chef,Bachelor,1,Pilot,Bachelor,33,15,0,1,1,Group 2
4353,Business Administration,Female,Rural,Not Admitted,0,1,1,6051,0,Scholarship,0,0,0,Artist,High School,1,Police Officer,High School,65,7,4,1,0,Group 3
7811,Engineering,Female,Urban,Not Admitted,0,1,5,3783,1,Family Support,0,0,0,Chef,Bachelor,1,Businesswoman,Master,113,1,4,0,1,Group 2
7884,Biology,Female,Rural,Not Admitted,0,0,2,5211,0,Scholarship,1,0,1,Engineer,Master,0,Engineer,Bachelor,107,5,3,3,1,Group 3
9356,Business Administration,Female,Rural,Admitted,0,0,2,7483,1,Scholarship,0,0,1,Businessman,Bachelor,1,Engineer,High School,113,15,2,4,0,Group 2
4074,Computer Science,Male,Rural,Not Admitted,0,1,5,4032,0,Scholarship,1,1,0,Engineer,Bachelor,1,Engineer,High School,40,22,0,0,0,Group 2
3202,Biology,Male,Rural,Admitted,0,1,2,5059,1,Scholarship,1,1,0,Engineer,Master,1,Doctor,Bachelor,30,23,3,3,0,Group 1
9762,Computer Science,Female,Urban,Not Admitted,0,0,5,7169,0,Scholarship,1,1,1,Artist,High School,0,Teacher,Master,99,22,3,1,1,Group 2
8263,Computer Science,Male,Rural,Not Admitted,1,0,2,3237,0,Family Support,0,0,1,Artist,Bachelor,0,Artist,High School,45,25,0,0,1,Group 1
4863,Engineering,Female,Urban,Not Admitted,1,0,2,6883,1,Family Support,0,0,1,Engineer,High School,1,Police Officer,High School,84,0,3,2,0,Group 2
